colors_num,generations_num,mut_prob,cross_prob,inv_prob,selection_function,crossover_function
18,1980,0.15,0.7,0.05,roulette_wheel_selection,single_point_crossover
18,1223,0.15,0.7,0.05,roulette_wheel_selection,uniform_crossover
18,1948,0.15,0.7,0.075,roulette_wheel_selection,two_point_crossover
19,1390,0.125,0.7,0.125,roulette_wheel_selection,uniform_crossover
20,2257,0.125,0.3,0.05,roulette_wheel_selection,single_point_crossover
20,1092,0.125,0.7,0.075,rank_selection,two_point_crossover
20,1745,0.125,0.7,0.075,roulette_wheel_selection,two_point_crossover
20,2041,0.15,0.3,0.05,roulette_wheel_selection,two_point_crossover
20,1356,0.15,0.3,0.05,roulette_wheel_selection,uniform_crossover
21,905,0.125,0.7,0.15,tournament_selection,uniform_crossover
21,983,0.15,0.7,0.05,rank_selection,two_point_crossover
21,1558,0.15,0.7,0.075,roulette_wheel_selection,single_point_crossover
22,1213,0.125,0.3,0.05,rank_selection,single_point_crossover
22,1237,0.125,0.3,0.075,tournament_selection,two_point_crossover
22,1150,0.125,0.7,0.1,roulette_wheel_selection,uniform_crossover
22,1469,0.15,0.3,0.075,roulette_wheel_selection,uniform_crossover
22,997,0.15,0.3,0.075,tournament_selection,uniform_crossover
22,938,0.15,0.7,0.1,roulette_wheel_selection,uniform_crossover
23,1704,0.125,0.3,0.075,roulette_wheel_selection,single_point_crossover
23,1337,0.125,0.3,0.075,roulette_wheel_selection,uniform_crossover
23,1827,0.125,0.3,0.1,roulette_wheel_selection,two_point_crossover
23,1637,0.125,0.3,0.125,roulette_wheel_selection,uniform_crossover
23,2000,0.125,0.3,0.15,roulette_wheel_selection,single_point_crossover
23,1738,0.15,0.3,0.05,roulette_wheel_selection,single_point_crossover
23,1760,0.15,0.3,0.125,roulette_wheel_selection,single_point_crossover
24,1314,0.125,0.7,0.125,roulette_wheel_selection,single_point_crossover
24,1325,0.125,0.7,0.15,roulette_wheel_selection,single_point_crossover
24,1446,0.15,0.3,0.1,roulette_wheel_selection,two_point_crossover
24,1651,0.15,0.3,0.15,roulette_wheel_selection,uniform_crossover
25,1620,0.125,0.3,0.075,roulette_wheel_selection,two_point_crossover
25,1022,0.125,0.3,0.075,tournament_selection,single_point_crossover
25,1045,0.125,0.7,0.15,roulette_wheel_selection,uniform_crossover
25,1458,0.15,0.3,0.125,roulette_wheel_selection,two_point_crossover
26,1466,0.125,0.3,0.05,roulette_wheel_selection,two_point_crossover
26,1124,0.125,0.7,0.05,roulette_wheel_selection,single_point_crossover
26,1008,0.15,0.3,0.1,roulette_wheel_selection,uniform_crossover
27,1131,0.125,0.7,0.1,roulette_wheel_selection,two_point_crossover
28,1056,0.125,0.3,0.125,roulette_wheel_selection,two_point_crossover
28,1033,0.125,0.7,0.1,roulette_wheel_selection,single_point_crossover
29,635,0.125,0.3,0.125,tournament_selection,uniform_crossover
29,958,0.125,0.7,0.15,roulette_wheel_selection,two_point_crossover
29,708,0.15,0.7,0.1,roulette_wheel_selection,single_point_crossover
30,993,0.15,0.3,0.1,roulette_wheel_selection,single_point_crossover
30,842,0.15,0.7,0.125,roulette_wheel_selection,two_point_crossover
31,1053,0.125,0.3,0.1,roulette_wheel_selection,single_point_crossover
32,862,0.15,0.3,0.15,roulette_wheel_selection,single_point_crossover
33,533,0.125,0.7,0.125,roulette_wheel_selection,two_point_crossover
33,657,0.15,0.7,0.15,roulette_wheel_selection,two_point_crossover
34,611,0.15,0.3,0.125,roulette_wheel_selection,uniform_crossover
34,444,0.15,0.7,0.1,roulette_wheel_selection,two_point_crossover
38,532,0.125,0.3,0.15,roulette_wheel_selection,two_point_crossover
40,377,0.15,0.3,0.15,roulette_wheel_selection,two_point_crossover
40,357,0.15,0.7,0.125,roulette_wheel_selection,single_point_crossover
40,308,0.15,0.7,0.15,roulette_wheel_selection,single_point_crossover
41,325,0.125,0.3,0.125,roulette_wheel_selection,single_point_crossover
42,282,0.15,0.3,0.075,roulette_wheel_selection,two_point_crossover
44,210,0.125,0.3,0.15,roulette_wheel_selection,uniform_crossover
45,175,0.15,0.7,0.15,roulette_wheel_selection,uniform_crossover
